省	AreaCode	SgnQuarter	repost_num	comment_num	praise_num	type	negative_type	positive_type	new_num
上海市	310000.0	2011-03	0.0	0.0	0.0	-2.0	-4.0	2.0	-16.519433922043046
上海市	310000.0	2011-06	5280.0	1872.0	0.0	9.0	-29.0	38.0	-56934.22901232134
上海市	310000.0	2011-09	19.0	9.0	0.0	11.0	-8.0	19.0	74.3374526491937
上海市	310000.0	2011-12	1340.0	7.0	0.0	4.0	-6.0	10.0	-10944.124973353515
上海市	310000.0	2012-03	1033.0	763.0	0.0	0.0	-1.0	1.0	14834.451661994655
上海市	310000.0	2012-06	271.0	135.0	0.0	-5.0	-19.0	14.0	2618.3302766438223
上海市	310000.0	2012-09	48.0	26.0	0.0	7.0	0.0	7.0	669.0370738427432
上海市	310000.0	2012-12	4.0	2.0	1.0	-3.0	-3.0	0.0	-82.59716961021523
上海市	310000.0	2013-03	30.0	9.0	1.0	2.0	-1.0	3.0	231.27207490860263
上海市	310000.0	2013-06	36.0	40.0	4.0	2.0	0.0	2.0	677.2967908037649
云南省	530000.0	2012-03	0.0	0.0	0.0	-1.0	-1.0	0.0	-6.542471960506805
云南省	530000.0	2012-06	3.0	5.0	0.0	-10.0	-20.0	10.0	-50.316263894027344
云南省	530000.0	2012-09	9.0	9.0	1.0	7.0	-11.0	18.0	112.43580616176082
云南省	530000.0	2012-12	35.0	115.0	2.0	-43.0	-65.0	22.0	-1186.6812520278297
云南省	530000.0	2013-03	52.0	69.0	6.0	-3.0	-19.0	16.0	322.0511774988632
云南省	530000.0	2013-06	386.0	160.0	25.0	48.0	-68.0	116.0	4719.623061469538
云南省	530000.0	2013-09	796.0	351.0	39.0	-24.0	-116.0	92.0	6302.103006522795
云南省	530000.0	2013-12	310.0	150.0	52.0	-82.0	-204.0	122.0	-1577.862333617701
内蒙古自治区	150000.0	2012-12	962.0	226.0	6.0	-9.0	-53.0	44.0	6085.656430132083
内蒙古自治区	150000.0	2013-03	734.0	510.0	17.0	-32.0	-64.0	32.0	-3807.849297492856
