省	AreaCode	year	repost_num	comment_num	praise_num	type	negative_type	positive_type	new_num
上海市	310000.0	2011	6639.0	1888.0	0.0	22.0	-47.0	69.0	-67820.5359669477
上海市	310000.0	2012	1356.0	926.0	1.0	-1.0	-23.0	22.0	18039.22184287102
上海市	310000.0	2013	66.0	49.0	5.0	4.0	-1.0	5.0	908.5688657123674
云南省	530000.0	2012	47.0	129.0	3.0	-47.0	-97.0	50.0	-1131.1041817206024
云南省	530000.0	2013	1544.0	730.0	122.0	-61.0	-407.0	346.0	9765.91491187351
内蒙古自治区	150000.0	2012	962.0	226.0	6.0	-9.0	-53.0	44.0	6085.656430132083
内蒙古自治区	150000.0	2013	2244.0	978.0	138.0	-55.0	-201.0	146.0	816.7894263504277
北京市	110000.0	2012	116.0	78.0	10.0	-54.0	-67.0	13.0	-1336.0353684149727
北京市	110000.0	2013	26.0	27.0	39.0	3.0	-5.0	8.0	70.65571659886872
台湾省	820000.0	2011	289.0	266.0	11.0	-38.0	-158.0	120.0	0.0
台湾省	820000.0	2012	0.0	9.0	0.0	-9.0	-12.0	3.0	-113.40332432253919
台湾省	820000.0	2013	1245.0	1029.0	460.0	4.0	-131.0	135.0	1039.2656393512314
吉林省	220000.0	2011	197.0	107.0	0.0	67.0	-16.0	83.0	2719.279050218786
吉林省	220000.0	2012	343.0	270.0	7.0	71.0	-10.0	81.0	6650.76683366763
吉林省	220000.0	2013	1298.0	1081.0	123.0	62.0	-119.0	181.0	19488.52835824246
四川省	510000.0	2011	0.0	2.0	1.0	-2.0	-2.0	0.0	-42.99294414810116
四川省	510000.0	2012	574.0	255.0	4.0	79.0	-45.0	124.0	6031.845760859378
四川省	510000.0	2013	39246.0	11030.0	138.0	135.0	-300.0	435.0	256941.77725769999
宁夏回族自治区	640000.0	2011	74.0	22.0	0.0	10.0	-15.0	25.0	332.5540906959284
宁夏回族自治区	640000.0	2012	181.0	122.0	0.0	-4.0	-51.0	47.0	623.5389200548645
宁夏回族自治区	640000.0	2013	99.0	69.0	7.0	-64.0	-127.0	63.0	-380.01081636235574
安徽省	340000.0	2011	343.0	210.0	2.0	30.0	-53.0	83.0	3842.2056544144443
安徽省	340000.0	2012	1946.0	1292.0	19.0	-190.0	-485.0	295.0	6487.718709152162
安徽省	340000.0	2013	1058.0	895.0	241.0	-29.0	-217.0	188.0	2665.7299718027734
广东省	440000.0	2011	1946.0	633.0	12.0	0.0	-234.0	234.0	4200.547214524213
广东省	440000.0	2012	4356.0	1660.0	15.0	18.0	-371.0	389.0	17218.31872953925
广东省	440000.0	2013	10951.0	4226.0	897.0	327.0	-502.0	829.0	49155.080605523915
广西壮族自治区	450000.0	2010	14.0	11.0	0.0	13.0	-4.0	17.0	151.27782146159686
广西壮族自治区	450000.0	2011	115.0	62.0	4.0	164.0	-20.0	184.0	1904.725297493739
广西壮族自治区	450000.0	2012	228.0	210.0	6.0	68.0	-53.0	121.0	3012.061970565493
广西壮族自治区	450000.0	2013	1233.0	687.0	154.0	107.0	-69.0	176.0	20685.2634297355
新疆维吾尔自治区	650000.0	2013	22.0	30.0	9.0	13.0	-51.0	64.0	200.7341677132673
江西省	360000.0	2013	1075406.0	425402.0	162373.0	309.0	-261.0	570.0	-6404058.010611939
河北省	130000.0	2011	178.0	73.0	1.0	-245.0	-371.0	126.0	-2327.5971705860243
河北省	130000.0	2012	4685.0	3725.0	40.0	-93.0	-518.0	425.0	47958.311543958815
河北省	130000.0	2013	1239.0	1391.0	251.0	103.0	-322.0	425.0	10711.134244117395
河南省	410000.0	2012	83.0	66.0	1.0	-8.0	-63.0	55.0	393.85034027935455
河南省	410000.0	2013	95.0	118.0	14.0	9.0	-23.0	32.0	1105.810570784341
浙江省	330000.0	2011	15.0	3.0	0.0	3.0	-7.0	10.0	175.42480239181046
浙江省	330000.0	2012	105.0	66.0	0.0	22.0	-34.0	56.0	1375.6548110666474
浙江省	330000.0	2013	447.0	371.0	58.0	8.0	-169.0	177.0	5613.119807731818
海南省	460000.0	2012	206.0	126.0	0.0	5.0	-20.0	25.0	2481.555429375013
海南省	460000.0	2013	84.0	52.0	5.0	-6.0	-18.0	12.0	719.9051586924104
湖北省	420000.0	2011	84.0	36.0	0.0	3.0	-46.0	49.0	356.4854284960708
湖北省	420000.0	2012	74.0	102.0	3.0	-217.0	-248.0	31.0	-2725.1330533921955
湖北省	420000.0	2013	321649.0	142494.0	741.0	277.0	-354.0	631.0	5989892.688031617
湖南省	430000.0	2011	74.0	59.0	1.0	-29.0	-74.0	45.0	-575.7323037978085
湖南省	430000.0	2012	3972.0	2206.0	9.0	-70.0	-353.0	283.0	-21252.769347816415
湖南省	430000.0	2013	9151.0	3594.0	284.0	-155.0	-888.0	733.0	61778.229625484055
甘肃省	620000.0	2013	4137.0	1133.0	734.0	180.0	-51.0	231.0	52683.26869736012
贵州省	520000.0	2011	800.0	672.0	0.0	25.0	-49.0	74.0	-5941.780115444755
贵州省	520000.0	2012	924.0	1017.0	42.0	161.0	-52.0	213.0	14604.307235802677
贵州省	520000.0	2013	572.0	456.0	71.0	131.0	-25.0	156.0	11009.26187761311
辽宁省	210000.0	2011	172.0	305.0	0.0	44.0	-152.0	196.0	1104.3152565485937
辽宁省	210000.0	2012	409.0	390.0	2.0	74.0	-75.0	149.0	4241.8573981364825
辽宁省	210000.0	2013	1316.0	872.0	68.0	88.0	-144.0	232.0	7946.531614876018
重庆市	500000.0	2013	721.0	211.0	89.0	388.0	-44.0	432.0	13618.062595285675
