省	AreaCode	year	repost_num	comment_num	praise_num	type	negative_type	positive_type	new_num
上海市	310000.0	2014	186.0	116.0	225.0	87.0	-9.0	96.0	6603.630760264539
上海市	310000.0	2015	102.0	83.0	224.0	71.0	-2.0	73.0	5900.582618487322
上海市	310000.0	2016	13277.0	7810.0	16158.0	141.0	-22.0	163.0	408144.5742766661
上海市	310000.0	2017	15872.0	23482.0	30633.0	170.0	-40.0	210.0	560134.2420088236
上海市	310000.0	2018	11939.0	14609.0	38230.0	60.0	-57.0	117.0	269722.841697743
上海市	310000.0	2019	117973.0	58783.0	227099.0	78.0	-98.0	176.0	3496567.655194053
上海市	310000.0	2020	162078.0	176038.0	1675575.0	-72.0	-156.0	84.0	-31831439.875763882
云南省	530000.0	2014	1019.0	798.0	595.0	400.0	-504.0	904.0	15182.975729419893
云南省	530000.0	2015	35769.0	4661.0	868.0	102.0	-314.0	416.0	443172.36019718513
云南省	530000.0	2016	9699.0	3936.0	1475.0	-144.0	-364.0	220.0	138309.86097586804
云南省	530000.0	2017	4263.0	13529.0	10654.0	90.0	-297.0	387.0	256500.7374785325
云南省	530000.0	2018	9464.0	12321.0	23668.0	20.0	-720.0	740.0	163583.94509197693
云南省	530000.0	2019	11631.0	10604.0	72168.0	770.0	-1214.0	1984.0	642580.4089307266
云南省	530000.0	2020	84467.0	62684.0	423581.0	-3544.0	-6082.0	2538.0	-7261653.262041904
内蒙古自治区	150000.0	2014	417.0	223.0	204.0	-21.0	-87.0	66.0	1461.017706288798
内蒙古自治区	150000.0	2015	253.0	134.0	397.0	-9.0	-48.0	39.0	3830.857450347795
内蒙古自治区	150000.0	2016	161.0	219.0	251.0	9.0	-43.0	52.0	2254.7989797842883
内蒙古自治区	150000.0	2017	304.0	346.0	411.0	103.0	-64.0	167.0	10399.685090433659
内蒙古自治区	150000.0	2018	1119.0	418.0	1674.0	332.0	-51.0	383.0	42198.75265231744
内蒙古自治区	150000.0	2019	6489.0	5567.0	9864.0	781.0	-153.0	934.0	99778.14052560236
内蒙古自治区	150000.0	2020	23044.0	40178.0	261223.0	-966.0	-1566.0	600.0	-5685186.241661264
北京市	110000.0	2016	7.0	2.0	5.0	19.0	0.0	19.0	293.61449255394143
北京市	110000.0	2017	7.0	0.0	7.0	27.0	-1.0	28.0	364.793763476109
北京市	110000.0	2018	0.0	0.0	1.0	-5.0	-5.0	0.0	-53.384453191625695
北京市	110000.0	2019	116.0	326.0	509.0	-74.0	-85.0	11.0	-12242.658289067824
北京市	110000.0	2020	328006.0	404736.0	5064975.0	-474.0	-506.0	32.0	-92650342.2480607
台湾省	820000.0	2014	5250.0	6810.0	4527.0	71.0	-400.0	471.0	12281.465774748325
台湾省	820000.0	2015	4643.0	3335.0	5445.0	637.0	-494.0	1131.0	65357.54560679388
台湾省	820000.0	2016	3216.0	3408.0	6003.0	707.0	-295.0	1002.0	19497.701076236848
台湾省	820000.0	2017	458.0	1728.0	2004.0	450.0	-203.0	653.0	-7910.325459673829
台湾省	820000.0	2018	198.0	353.0	733.0	218.0	-202.0	420.0	-249.4676857306896
台湾省	820000.0	2019	594.0	289.0	2114.0	333.0	-607.0	940.0	4108.157558848392
台湾省	820000.0	2020	33248.0	65180.0	1682242.0	-2049.0	-2523.0	474.0	-32697765.035548165
吉林省	220000.0	2014	21212.0	773.0	630.0	86.0	-35.0	121.0	224668.3584980125
吉林省	220000.0	2015	613.0	323.0	860.0	41.0	-2.0	43.0	18908.56219085736
吉林省	220000.0	2016	101.0	190.0	232.0	18.0	-24.0	42.0	1765.363192619247
吉林省	220000.0	2017	850.0	442.0	1148.0	-24.0	-172.0	148.0	6792.446833654787
吉林省	220000.0	2018	1282.0	1867.0	4419.0	-33.0	-391.0	358.0	49947.98476665358
吉林省	220000.0	2019	1038.0	1282.0	3180.0	423.0	-494.0	917.0	42715.45652650343
吉林省	220000.0	2020	31383.0	43860.0	402326.0	-4738.0	-6467.0	1729.0	-7909788.6610951265
四川省	510000.0	2014	2674.0	2004.0	5735.0	308.0	-246.0	554.0	61836.39878830551
四川省	510000.0	2015	2397.0	1141.0	8702.0	-20.0	-290.0	270.0	1311.638590549417
四川省	510000.0	2016	2779.0	1944.0	7570.0	-319.0	-635.0	316.0	-55976.591561414294
四川省	510000.0	2017	10910.0	3320.0	17998.0	-8.0	-701.0	693.0	193576.47231682515
四川省	510000.0	2018	10284.0	11093.0	23799.0	443.0	-684.0	1127.0	282813.22703343735
四川省	510000.0	2019	55441.0	33174.0	139475.0	2369.0	-1598.0	3956.0	-37814.07070922961
四川省	510000.0	2020	926481.0	603990.0	5029970.0	-3630.0	-6499.0	2869.0	-106956098.05114268
天津市	120000.0	2016	2079.0	409.0	430.0	181.0	-204.0	385.0	-5430.557024025367
天津市	120000.0	2017	22937.0	371.0	3811.0	25.0	-213.0	238.0	-2524.7052552450796
天津市	120000.0	2018	1134.0	354.0	387.0	-152.0	-265.0	113.0	1548.7854610805243
天津市	120000.0	2019	7985.0	5399.0	8171.0	2347.0	-468.0	2815.0	200144.66547672005
天津市	120000.0	2020	27343.0	38058.0	310170.0	-2735.0	-3087.0	352.0	-6607759.518060898
宁夏回族自治区	640000.0	2014	448.0	311.0	94.0	-80.0	-184.0	104.0	-767.3364261376703
宁夏回族自治区	640000.0	2015	84.0	117.0	110.0	64.0	-51.0	115.0	1866.7241744895816
宁夏回族自治区	640000.0	2016	25.0	20.0	32.0	9.0	-52.0	61.0	8.40759660143324
宁夏回族自治区	640000.0	2017	44.0	28.0	74.0	51.0	-65.0	116.0	573.6558064504758
宁夏回族自治区	640000.0	2018	41.0	24.0	46.0	20.0	-13.0	33.0	573.6558064504765
宁夏回族自治区	640000.0	2019	35.0	13.0	73.0	12.0	-20.0	32.0	544.3156564371246
宁夏回族自治区	640000.0	2020	43086.0	162811.0	579462.0	-52.0	-64.0	12.0	-14586025.117556758
安徽省	340000.0	2014	414.0	909.0	351.0	16.0	-164.0	180.0	-4824.154404997323
安徽省	340000.0	2015	312.0	261.0	409.0	73.0	-15.0	88.0	9529.664949228174
安徽省	340000.0	2016	1139.0	762.0	2375.0	70.0	-180.0	250.0	7463.645928134206
安徽省	340000.0	2017	2723.0	1829.0	5431.0	352.0	-243.0	595.0	62385.99921019091
安徽省	340000.0	2018	3275.0	2182.0	6578.0	712.0	-469.0	1181.0	63435.71667022784
安徽省	340000.0	2019	4742.0	3442.0	14534.0	964.0	-1297.0	2261.0	63351.0675393261
安徽省	340000.0	2020	38646.0	101000.0	851052.0	-1532.0	-2504.0	972.0	-15317107.99442273
山东省	370000.0	2015	4483.0	215.0	437.0	-118.0	-304.0	186.0	43851.8829749515
山东省	370000.0	2016	8152.0	713.0	1994.0	-292.0	-1261.0	969.0	-170.8970921734629
山东省	370000.0	2017	468.0	421.0	1327.0	209.0	-207.0	416.0	16895.5261135908
山东省	370000.0	2018	677.0	545.0	1194.0	-748.0	-1228.0	480.0	3105.861237465455
山东省	370000.0	2019	4302.0	5643.0	19896.0	-3329.0	-3995.0	666.0	-306346.03419344715
山东省	370000.0	2020	166035.0	259322.0	2535360.0	-3017.0	-4162.0	1145.0	-51839086.58584436
山西省	140000.0	2015	192.0	46.0	48.0	71.0	-44.0	115.0	1726.4012608527262
山西省	140000.0	2016	665.0	261.0	230.0	31.0	-26.0	57.0	11732.62907440842
山西省	140000.0	2017	2148.0	1486.0	2426.0	383.0	-95.0	478.0	45962.23531192598
山西省	140000.0	2018	323.0	176.0	770.0	-79.0	-196.0	117.0	-330.00559548731843
山西省	140000.0	2019	10423.0	953.0	23852.0	-95.0	-704.0	609.0	359869.7310077846
山西省	140000.0	2020	27949.0	64780.0	1031462.0	-168.0	-381.0	213.0	-17901469.63287567
广东省	440000.0	2014	52845.0	12857.0	2322.0	-291.0	-1070.0	779.0	680286.5531727452
广东省	440000.0	2015	48927.0	12257.0	5322.0	478.0	-536.0	1014.0	646833.6352301638
广东省	440000.0	2016	5339.0	4096.0	4432.0	375.0	-759.0	1134.0	86163.2894998562
广东省	440000.0	2017	1336.0	2674.0	2432.0	643.0	-645.0	1288.0	54176.28011731748
广东省	440000.0	2018	8865.0	3344.0	8491.0	1627.0	-481.0	2108.0	135197.52799020332
广东省	440000.0	2019	1934571.0	232343.0	2595546.0	984.0	-1950.0	2934.0	53380541.254703194
广东省	440000.0	2020	402969.0	461649.0	6007566.0	-2222.0	-3191.0	969.0	-113935690.99927111
广西壮族自治区	450000.0	2014	363.0	168.0	89.0	371.0	-118.0	489.0	6219.573673523256
广西壮族自治区	450000.0	2015	510.0	110.0	193.0	741.0	-699.0	1440.0	13288.898207276252
广西壮族自治区	450000.0	2016	124.0	34.0	59.0	-306.0	-362.0	56.0	-3065.3271135549135
广西壮族自治区	450000.0	2017	774.0	1100.0	1529.0	206.0	-589.0	795.0	13364.842811134706
广西壮族自治区	450000.0	2018	3794.0	3750.0	5846.0	142.0	-1709.0	1851.0	88635.8292978648
广西壮族自治区	450000.0	2019	4821.0	5734.0	21758.0	1226.0	-1708.0	2934.0	98635.87189498633
广西壮族自治区	450000.0	2020	76222.0	63227.0	352307.0	-3849.0	-6522.0	2673.0	-3635736.3693229095
广西省	820000.0	2016	138.0	64.0	93.0	27.0	-9.0	36.0	1919.303457518256
广西省	820000.0	2017	55.0	53.0	48.0	37.0	-3.0	40.0	1348.0821903997278
广西省	820000.0	2018	2.0	3.0	7.0	2.0	0.0	2.0	106.62796986212538
新疆维吾尔自治区	650000.0	2015	0.0	0.0	2.0	-2.0	-2.0	0.0	-22.303796412585264
新疆维吾尔自治区	650000.0	2018	2.0	1.0	3.0	1.0	-6.0	7.0	5.293304824724492
新疆维吾尔自治区	650000.0	2019	316.0	217.0	847.0	386.0	-51.0	437.0	16526.20202109957
新疆维吾尔自治区	650000.0	2020	57645.0	84140.0	557273.0	-207.0	-277.0	70.0	-12296320.234710455
江苏省	320000.0	2019	7.0	22.0	27.0	-7.0	-8.0	1.0	-790.1901055003137
江苏省	320000.0	2020	68242.0	110460.0	1500780.0	-517.0	-780.0	263.0	-30454395.925676495
江西省	360000.0	2014	1922.0	5950.0	344.0	98.0	-119.0	217.0	-16427.1896110343
江西省	360000.0	2015	1020.0	802.0	1415.0	102.0	-197.0	299.0	21678.56649824902
江西省	360000.0	2016	1337.0	744.0	2232.0	205.0	-263.0	468.0	25601.717052995988
江西省	360000.0	2017	1494.0	1096.0	1886.0	240.0	-237.0	477.0	45257.66844661484
江西省	360000.0	2018	772.0	870.0	1472.0	252.0	-20.0	272.0	41674.57314690799
江西省	360000.0	2019	9870.0	3761.0	21287.0	-828.0	-1240.0	412.0	-238299.67658790495
江西省	360000.0	2020	20053.0	26337.0	197061.0	-2481.0	-2809.0	328.0	-3769843.500163201
河北省	130000.0	2014	576.0	515.0	483.0	-31.0	-477.0	446.0	5225.968552194415
河北省	130000.0	2015	6349.0	1277.0	1286.0	-51.0	-531.0	480.0	73251.63644064339
河北省	130000.0	2016	1203.0	350.0	320.0	15.0	-123.0	138.0	9903.321730395955
河北省	130000.0	2017	171.0	166.0	182.0	62.0	-57.0	119.0	3563.0761412949705
河北省	130000.0	2018	62.0	136.0	179.0	47.0	-43.0	90.0	2912.043104992808
河北省	130000.0	2019	26.0	82.0	304.0	159.0	-43.0	202.0	4492.746784106377
河北省	130000.0	2020	65577.0	136208.0	1575427.0	249.0	-260.0	509.0	-32975341.96316187
河南省	410000.0	2014	144.0	86.0	72.0	-1.0	-13.0	12.0	-541.1847653279705
河南省	410000.0	2015	4376.0	1734.0	2030.0	-82.0	-222.0	140.0	75516.87874990991
河南省	410000.0	2016	3239.0	1527.0	4665.0	-138.0	-364.0	226.0	87082.38162879024
河南省	410000.0	2017	358.0	372.0	839.0	-468.0	-672.0	204.0	1515.9083968773261
河南省	410000.0	2018	6493.0	3101.0	21823.0	732.0	-714.0	1446.0	336409.92898426886
河南省	410000.0	2019	3011.0	2526.0	13861.0	-1327.0	-2457.0	1130.0	-79596.60132781984
河南省	410000.0	2020	53395.0	115899.0	1375430.0	-2108.0	-2570.0	462.0	-26321911.999598995
