省	AreaCode	SgnQuarter	repost_num	comment_num	praise_num	type	negative_type	positive_type	new_num
上海市	310000.0	2014-03	84.0	44.0	53.0	11.0	-2.0	13.0	1858.0558032683498
上海市	310000.0	2014-09	42.0	40.0	91.0	22.0	-4.0	26.0	2197.025443053792
上海市	310000.0	2014-12	60.0	32.0	81.0	54.0	-3.0	57.0	2548.549513942398
上海市	310000.0	2015-03	44.0	35.0	106.0	45.0	0.0	45.0	2887.519153727841
上海市	310000.0	2015-06	21.0	8.0	49.0	6.0	-2.0	8.0	929.0279016341749
上海市	310000.0	2015-09	6.0	7.0	26.0	5.0	0.0	5.0	552.3949685392391
上海市	310000.0	2015-12	31.0	33.0	43.0	15.0	0.0	15.0	1531.6405945860718
上海市	310000.0	2016-03	70.0	34.0	107.0	15.0	0.0	15.0	2837.3014293151828
上海市	310000.0	2016-06	4016.0	3365.0	5578.0	30.0	-2.0	32.0	173574.25492409154
上海市	310000.0	2016-09	1075.0	1632.0	5761.0	36.0	-11.0	47.0	50957.871293433105
上海市	310000.0	2016-12	8116.0	2779.0	4712.0	60.0	-9.0	69.0	180775.14662982651
上海市	310000.0	2017-03	4847.0	3707.0	5972.0	63.0	-11.0	74.0	83757.28112866904
上海市	310000.0	2017-06	2781.0	5714.0	9109.0	29.0	-9.0	38.0	144038.3783575123
上海市	310000.0	2017-09	6204.0	9542.0	8258.0	54.0	-8.0	62.0	286760.393305059
上海市	310000.0	2017-12	2040.0	4519.0	7294.0	24.0	-12.0	36.0	45578.18921758345
上海市	310000.0	2018-03	3065.0	3084.0	9099.0	2.0	-14.0	16.0	25041.383793561952
上海市	310000.0	2018-06	3425.0	4802.0	9368.0	1.0	-21.0	22.0	58336.041279411606
上海市	310000.0	2018-09	2754.0	2908.0	10217.0	28.0	-10.0	38.0	116473.34641319045
上海市	310000.0	2018-12	2695.0	3815.0	9546.0	29.0	-12.0	41.0	69872.07021157924
上海市	310000.0	2019-03	3169.0	3857.0	13378.0	8.0	-16.0	24.0	73892.64512086273
上海市	310000.0	2019-06	86858.0	12463.0	33972.0	17.0	-30.0	47.0	1384461.6315003925
上海市	310000.0	2019-09	11117.0	28127.0	119440.0	31.0	-27.0	58.0	1563665.806916389
上海市	310000.0	2019-12	16829.0	14336.0	60309.0	22.0	-25.0	47.0	474547.57165640814
上海市	310000.0	2020-03	13393.0	23060.0	248545.0	-13.0	-45.0	32.0	-2965717.710884874
上海市	310000.0	2020-06	148626.0	152870.0	1426396.0	-48.0	-98.0	50.0	-28852675.84154964
上海市	310000.0	2020-09	59.0	108.0	634.0	-11.0	-13.0	2.0	-13046.323329360985
云南省	530000.0	2014-03	285.0	365.0	145.0	-55.0	-378.0	323.0	1623.1333146140134
云南省	530000.0	2014-06	299.0	174.0	151.0	166.0	-40.0	206.0	6641.4405395103295
云南省	530000.0	2014-09	322.0	202.0	150.0	196.0	-53.0	249.0	4062.0200121115954
云南省	530000.0	2014-12	113.0	57.0	149.0	93.0	-33.0	126.0	2856.381863184017
云南省	530000.0	2015-03	176.0	58.0	117.0	70.0	-27.0	97.0	3354.2011854288844
云南省	530000.0	2015-06	9886.0	2497.0	352.0	55.0	-63.0	118.0	137234.79376210558
云南省	530000.0	2015-09	5444.0	1847.0	145.0	-18.0	-103.0	85.0	73693.43435455224
云南省	530000.0	2015-12	20263.0	259.0	254.0	-5.0	-121.0	116.0	228889.93089509578
云南省	530000.0	2016-03	779.0	147.0	86.0	-26.0	-54.0	28.0	9496.812141171129
云南省	530000.0	2016-06	8478.0	3363.0	375.0	-55.0	-119.0	64.0	129881.54135534039
云南省	530000.0	2016-09	190.0	124.0	374.0	-27.0	-97.0	70.0	778.335710296012
云南省	530000.0	2016-12	252.0	302.0	640.0	-36.0	-94.0	58.0	-1846.8282309394583
云南省	530000.0	2017-03	432.0	8604.0	1396.0	-6.0	-80.0	74.0	117067.64671973883
云南省	530000.0	2017-06	164.0	506.0	663.0	32.0	-40.0	72.0	9594.739826388874
云南省	530000.0	2017-09	894.0	1924.0	3037.0	61.0	-72.0	133.0	59524.5887654847
云南省	530000.0	2017-12	2773.0	2495.0	5558.0	3.0	-105.0	108.0	70313.76216692051
云南省	530000.0	2018-03	1028.0	2294.0	3788.0	-39.0	-171.0	132.0	27566.542817390324
云南省	530000.0	2018-06	2815.0	4464.0	7891.0	34.0	-215.0	249.0	73793.101507858
云南省	530000.0	2018-09	4267.0	4150.0	8223.0	54.0	-171.0	225.0	31244.044922427147
云南省	530000.0	2018-12	1354.0	1413.0	3766.0	-29.0	-163.0	134.0	30980.25584430126
云南省	530000.0	2019-03	4033.0	2700.0	44913.0	46.0	-128.0	174.0	385395.33439542644
云南省	530000.0	2019-06	1148.0	1403.0	4084.0	61.0	-188.0	249.0	44954.73003818477
云南省	530000.0	2019-09	1441.0	1464.0	4186.0	199.0	-230.0	429.0	11000.481926389852
