AreaCode,year,DT,MillionDomesticTourists,DR,perGDP,GDP,IP,Population,CPI,PerCapitaDisposableIncome,SoftwareEnterprises,RN,CN,PN,PT,NT,PRN,NRN,PCN,NCN,PPN,NPN
110000,2012,22633.7,226.34,3301.3,93078,17879.4,70.45860919,2069,103.3,33706.46831,2067,116,78,10,13,67,7,109,15,63,3,7
110000,2013,24738.8,247.39,3666.3,101023,19800.81,73.57669756,2115,103.3,40830.04,2682,26,27,39,8,5,12,14,14,13,24,15
110000,2016,28115,281.15,4683,124516,24899.26,77.77624373,2173,101.4,52530,2879,7,2,5,19,0,7,0,2,0,5,0
110000,2017,29353.6,293.536,5122.4,137596,28014.94,78,2170.7,101.9,57230,3026,7,0,7,28,1,7,0,0,0,7,0
110000,2018,30693.2,306.932,5556.2,153095,30319.98,75,2154,102.5,62361,3384,0,0,1,0,5,0,0,0,0,0,1
110000,2019,31883,,5866.2,164563,35371.3,94.06849315,2153.6,102.3,67756,,116,326,509,11,85,7,109,3,323,21,488
110000,2020,18352.4,183.524,2880.9,164889,36102.6,95.20785747,,101.7,,,328006,404736,5064975,32,506,29631,298375,28597,376139,325277,4739698
120000,2016,18811,188.11,2919.4672,73830,17885.39,63.95155302,1562,102.1,34074,465,2079,409,430,385,204,644,1435,99,310,359,71
120000,2017,20769,207.69,3292.13,79837,18549.19,65.00542756,1557,102.1,37022,353,22937,371,3811,238,213,11481,11456,143,228,1787,2024
120000,2018,22651,226.51,3840.89,85757,18809.64,67,1560,102,39506,369,1134,354,387,113,265,527,607,335,19,233,154
120000,2019,24497,244.97,4235.22,90058,14104.28,78.88808664,1561.83,102.7,42404,,7985,5399,8171,2815,468,6757,1228,4844,555,6420,1751
120000,2020,,,,101614,14083.73,90.45421774,,102,,,27343,38058,310170,352,3087,586,26757,438,37620,1636,308534
130000,2011,18626.66,189,1192.2,29631,24515.76,35.86763916,7241,105.7,12214.52047,252,178,73,1,126,371,55,123,21,52,0,1
130000,2012,22911,229,1553.91,31770,26575.01,41.27610116,7288,102.6,13913.98535,247,4685,3725,40,425,518,3704,981,3052,673,38,2
130000,2013,26988,270,1973.82,33187,28442.95,46.21819516,7333,103,15189.64,255,1239,1391,251,425,322,828,411,910,481,189,62
130000,2014,31367.8,313.678,2528.66,34260,29421.15,48.79634332,7384,101.7,16647.4,286,576,515,483,446,477,423,153,331,184,273,210
130000,2015,37059.96,370.5996,3395.6,35653,29806.11,50.24969966,7424.92,100.9,18118.09,284,6349,1277,1286,480,531,6114,235,1036,241,745,541
130000,2016,46532,465.32,4610.13,38233,31827.86,52.95850067,7470,101.5,19725,204,1203,350,320,138,123,1000,203,211,139,177,143
130000,2017,57000,570,6089.6,40883,34016.32,54,7519.52,101.7,21484,218,171,166,182,119,57,127,44,135,31,154,28
130000,2018,68000,680,7580.2,43108,36010.27,56,7556,102.4,23446,218,62,136,179,90,43,54,8,106,30,152,27
130000,2019,78000,780,9248.7,46182,35104.5,58.35638512,7591.97,103,25665,,26,82,304,202,43,25,1,76,6,263,41
130000,2020,,,,48564,36206.9,61.60503751,,102.1,,,65577,136208,1575427,509,260,144,65433,264,135944,333,1575094
140000,2015,36007,360.07,3428.91,32375,12766.49,53.90107311,3664.12,100.6,17853.67,115,192,46,48,115,44,190,2,38,8,37,11
140000,2016,44330,443.3,4227.97,32526,12928.34,55.26887561,3682,101.1,19049,85,665,261,230,57,26,606,59,232,29,197,33
140000,2017,56073,560.73,5338.61,39232,15528.42,55.99470607,3702,101.1,20420,94,2148,1486,2426,478,95,2024,124,613,873,2087,339
140000,2018,70000,700,6699.46,43010,16818.11,57,3718,101.8,21990,99,323,176,770,117,196,189,134,78,98,384,386
140000,2019,83390,833.9,7999.4,45549,17026.68,61.42979697,3729.22,102.7,23828,,10423,953,23852,609,704,9722,701,590,363,22097,1755
140000,2020,33252,332.52,2919.71,50528,17651.93,66.54154728,,102.9,,,27949,64780,1031462,213,381,8660,19289,7517,57263,62844,968618
150000,2012,5887.31,58.87,1080.65,42120,15880.58,38.75735486,2490,103.1,16585.22851,64,962,226,6,44,53,695,267,165,61,6,0
150000,2013,6612.76,66.13,1343.73,45684,16916.5,43.76183632,2498,103.2,18692.89,69,2244,978,138,146,201,1272,972,401,577,70,68
150000,2014,7415,74.15,1744.97,48610,17770.19,45.59228045,2505,101.6,20559.34,82,417,223,204,66,87,249,168,107,116,140,64
150000,2015,8352,83.52,2193.77,51633,17831.51,50.138588,2511.04,101.1,22310.09,81,253,134,397,39,48,182,71,108,26,273,124
150000,2016,9627,96.27,2635.56,54816,18632.57,52.02380952,2520,101.2,24127,72,161,219,251,52,43,122,39,123,96,164,87
150000,2017,11461.2,114.612,3358.59,59017,16096.21,52.0082259,2529,101.7,26212,61,304,346,411,167,64,264,40,295,51,372,39
150000,2018,12856.1,128.561,3924.0132,63772,17289.22,54,2534,101.8,28376,44,1119,418,1674,383,51,1043,76,374,44,1588,86
150000,2019,19317,193.17,4558.5,67852,17212.5,56.84057971,2539.6,102.4,30555,,6489,5567,9864,934,153,4014,2475,2694,2873,7503,2361
150000,2020,12494,124.94,2404.0647,72062,17360,59.97919268,,101.9,,,23044,40178,261223,600,1566,1530,21514,1552,38626,6393,254830
210000,2011,32563.5,325.63,3159.3,37350,22226.7,47.72986539,4383,105.2,16090.71221,1769,172,305,0,196,152,93,79,192,113,0,0
210000,2012,36281.5,362.81,3742,40694,24846.43,50.10252905,4389,102.8,18467.81005,2956,409,390,2,149,75,300,109,318,72,2,0
210000,2013,40427.2,404.27,4432.6,43758,27213.22,55.87699317,4390,102.4,20817.84,4140,1316,872,68,232,144,929,387,585,287,40,28
210000,2014,45925,459.25,5190.2,45608,28626.58,58.75654748,4391,101.7,22820.15,4282,1124,1457,536,456,349,800,324,842,615,353,183
210000,2015,39711,397.11,3620.1,46069,28669.02,62.31745162,4382.4,101.4,24575.58,3610,911,1421,897,356,193,752,159,1190,231,541,356
210000,2016,44873,448.73,4122.2,46557,22037.88,62.60849703,4378,101.6,26040,1892,593,1534,2108,364,118,511,82,1090,444,1741,367
210000,2017,50318.4,503.184,4620.7,49603,23409.24,62.00141912,4369,101.4,27835,1957,1392,3819,4957,356,255,1170,222,2720,1099,3927,1030
210000,2018,56211.4,562.114,5254.8,53872,25315.35,63,4359,102.5,29701,1633,166,1336,896,279,92,147,19,1192,144,745,151
